Page,Label,Text
206,1," ""Escrow Agreemtnt. ""This memoranda of agreement, made and entered into this 1st day of April, A.D. 1891, by and between the National Harrow 
Company, a corporation of Utica, in the State of New York, and Edward Norris of the same place; and E. Bement & Sons of 
Lansing, in the State of Michigan. ""Whereas, the said National Harrow Company is the owner of a large number of latters patent relating to float spring tooth 
harrows, and is desirous of granting licenses thereunder to the following-named persons, firms and corporations, to wit: Chas. H. 
Childs & Company, D.B. Smith & Company, A.W. Stevens & Son, Childs & Jones, Syracuse Chilled Plow Company, Geo. W. 
Sweet & Company, Walker Manufacturing Company, Taylor & Henry, the Herndeen Manufacturing Company, D.C. & H.C. Reed 
& Company, L.C. Lull & Company, Williams Manufacturing Company, W.S. Lawrence, McSherry Manufacturing Company, D.O. 
Everst & Company, E. Bement & Sons, Hench & Dromgold, Farmers' Friend Manufacturing Company, Eureka Mower Company. ""And whereas, the said National Harrow Company has placed in the hands of said E. Norris in escrow, duly executed by it in 
duplicate, a certain contract and license for each of said persons, firms and corporations hereinbefore named, to be by the said 
E. Norris immediately presented to each of the above and foregoing named respective persons, firms and corporations, to be 
signed and executed by said respective persons, firms and corporations -- ""Now, therefore, it is hereby understood and agreed by and between the parties hereto, that as the said licenses and contracts 
are signed and executed by the said respective persons, firms and corporations, they shall be held by said Norris, in escrow, for 
both parties until such time as all of said above-named persons, firms and corporations shall have signed, executed and 
delivered the same to said Norris, whereupon they shall become operative, and immediately thereafter the said Norris shall 
deliver one of the duplicates of each of said contracts and licenses to the said National Harrow Company and the other duplicate 
thereof to the respective licensees who have signed the same, in person or by mail. ""But in case any of the above-named persons, firms and corporations shall neglect or refuse to sign, execute and deliver said 
respective contracts and licenses on or before the 1st day of June next, then and in such case said E. Norris shall, provided he 
shall be so directed, by a resolution duly adopted by the board of trustees of said National Harrow Company, make delivery of 
such of said contracts and licenses as have been signed and executed as above provided, at which time said contracts and 
licenses shall become operative, and in case the said National Harrow Company shall conclude not to accept any less number 
than the whole of such respective contracts and licenses, then and in such case the said Norris shall cancel each of said 
contracts and licenses, and they shall be null and void. ""Witness the signatures of the parties. "
207,," ""THE NATIONAL HARROW CO., By CHAS. H. CHILDS, Pres't. ""EDWARD NORRIS. ""E. BEMENT & SONS, By A. O. BEMENT, Pres't. ""Received of E. Bement & Sons a license and contract executed between the National Harrow Company and said E. Bement & 
Sons, which I agree to hold and deliver in accordance with an agreement between the said National Harrow Company and said 
E. Bement & Sons and myself, and hereto attached. ""Dated this 1st day of April, 1891. EDWARD NORRIS."" "
275,*," Affirmed by supreme court of the United States, February 20, 1905 (25 S. Ct. 289).--REP. "
546,, † Writ of error granted by Supreme Court. 
715,1," Cong. Rec., Vol. 21, part 3, pp. 2456-2460, 2562, 2645, 2726, 2728, 2791, 2928; Cong. Rec., Vol. 21, part 5, pp. 4089, 4093, 
4098, 4101; Vol. 21, part 6, p. 5954. "
718,1," 1st.  All the stockholders and members of the following corporations and limited partnerships, to wit: Acme Oil Company, New York. Acme Oil Company, Pennsylvania. Atlantic Refining Company of Philadelphia. Bush & Co. (Limited). Camden Consolidated Oil Company. Elizabethport Acid Works. Imperial Refining Company (Limited). Charles Pratt & Co. Paine, Ablett & Co. Standard Oil Company, Ohio. Standard Oil Company, Pittsburg. Smith's Ferry Oil Transportation Company. Solar Oil Company (Limited). Sone & Fleming Manufacturing Company (Limited). Also all the stockholders and members of such other corporations and limited partnerships as may hereafter join in this 
agreement at the request of the trustees herein provided for."
718,2," d.  The following individuals, to wit: "
719,," W. C. Andrews, John D. Archbold, Lide K. Arter, J. A. Bostwick, Benjamin Brewster, D. Bushnell, Thomas C. Bushnell, J. N. 
Camden, Henry L. Davis, H. M. Flagler, Mrs. H. M. Flagler, John Huntington, H. A. Hutchins, Charles F. G. Heye, A. B. Jennings, 
Charles Lockhart, A. M. McGregor, William H. Macy, William H. Macy, jr., estate of Josiah Macy, William H. Macy, jr., executor; 
O. H. Payne, A. J. Pouch, John D. Rockefeller, William Rockefeller, Henry H. Rogers, W. P. Thompson, J. J. Vandergrift, William 
T. Wardwell, W. G. Warden, Joseph L. Warden, Warden, Frew & Co., Louise C. Wheaton, H. M. Hanna, and George W. Chapin, 
D. M. Harkness, D. M. Harkness, trustee, S. V. Harkness, O. H. Payne, trustee; Charles Pratt, Horace A. Pratt, C. M. Pratt, Julia 
H. York, George H. Vilas, M. R. Keith, trustees, George F. Chester. Also all such individuals as may hereafter join in the agreement at the request of the trustees herein provided for."
719,3," d.  A portion of the stockholders and members of the following corporations and limited partnerships, to wit: American Lubricating Oil Company. Baltimore United Oil Company. Beacon Oil Company. Bush & Denslow Manufacturing Company. Central Refining Co. of Pittsburg. Chesebrough Manufacturing Company. Chess Carley Company. Consolidated Tank Line Company. Inland Oil Company. Keystone Refining Company. Maverick Oil Company. National Transit Company. Portland Kerosene Oil Company. Producers' Consolidated Land and Petroleum Company. Signal Oil Works (Limited). Thompson & Bedford Company (Limited). Devoe Manufacturing Company. Eclipse Lubricating Oil Company (Limited). Empire Refining Company (Limited). Franklin Pipe Company (Limited). Galena Oil Works (Limited). Galena Farm Oil Company (Limited). Germania Mining Company. Vacuum Oil Company. H.C. Van Tine & Company (Limited). Waters-Pierce Oil Company. Also stockholders and members (not being all thereof) of other corporations and limited partnerships who may hereafter join in 
this agreement at the request of the trustees herein provided for."" "
720,1," List of Corporations the Stocks of Which Were Wholly or Partially Held by the Trustees of Standard Oil Trust, Capital S.O. trust Stock. ownership. New York State: Acme Oil Company, manufacturers $300,000 Entire. of petroleum products. Atlas Refining Company, manufacturers"
720,200," ,000 Do. of petroleum products. American Wick Manufacturing"
720,25," ,000 Do. Company, manufacturers of lamp wicks. Bush & Denslow Manufacturing"
720,300," ,000"
720,50," per cent. Company, manufacturers of pe- troleum products. Chesebrough Manufacturing Com- "
721,500," ,000"
721,2," ,661-5,000 pany, manufacturers of petroleum. Central Refining Company (Lim-"
721,200," ,000"
721,1," -67.2 per ct. ited), manufacturers of petroleum products. Devoe Manufacturing Company,"
721,300," ,000 Entire. packers, manufacturers of petroleum. Empire Refining Company (Lim-"
721,100," ,000"
721,80," per cent. ited), manufacturers of petroleum products. Oswego Manufacturing Company,"
721,100," ,000 Entire. manufacturers of wood cases. Pratt Manufacturing Company,"
721,500," ,000 Do. manufacturers of petroleum products. Standard Oil Company of New"
721,5," ,000,000 Do. York, manufacturers of petro- leum products. Sone & Fleming Manufacturing"
721,250," ,000 Do. Company (Limited), manufacturers of petroleum products. Thompson & Bedford Company"
721,250," ,000 "
722,80," per cent. (Limited), manufacturers of pe- troleum products. Vacuum Oil Company, manufac-"
722,25," ,000"
722,75," per cent turers of petroleum products. New Jersey: Eagle Oil Company, manufacturers"
722,350," ,000 Entire. of petroleum products. McKirgan Oil Company, jobbers of"
722,75," ,000 Do. petroleum products. Standard Oil Company of New"
722,3," ,000,000 Do. Jersey, manufacturers of petro- leum products. Pennsylvania: Acme Oil Company, manufacturers"
722,300," ,000 Do. of petroleum products. Atlantic Refining Company, manu-"
722,400," ,000 Do. facturers of petroleum products. Galena Oil Works (Limited), manu-"
722,150," ,000"
722,86, 1/4 per cent. facturers of petroleum products. Imperial Refining Company (Lim-
722,300," ,000 Entire. "
723,," ited), manufacturers of petroleum products. Producers' Consolidated Land and"
723,1," ,000,000"
723,65," /132 per cent. Petroleum Company, producers of crude oil. National Transit Company, trans-"
