Page,Label,Text
8,*," Briefs of amici curiae urging reversal were filed for the 
Government of Japan by Stephen M. Shapiro; and for the 
American Association of Exporters and Importers et al. by 
Robert Herzstein and Hadrian R. Katz. Briefs of amici curiae were filed for the Government of 
Australia et al. by Mark R. Joelson and Joseph P. Griffin; and 
for the Semiconductor Industry Association by Joseph R. 
Creighton.
"
9,," filed separately in 1974, in the Eastern District of 
Pennsylvania.  The two cases were consolidated in the 
Eastern District of Pennsylvania in 1974.
"
9,2," The inadmissible evidence included various government 
records and reports, Zenith Radio Corp. v. Matsushita Electric 
Industrial Co., 505 F.Supp. 1125 (ED Pa. 1980), business 
documents offered pursuant to various hearsay exceptions, 
Zenith Radio Corp. v. Matsushita Electric Industrial Co., 505 
F.Supp. 1190 (ED Pa. 1980), and a large portion of the expert 
testimony that respondents proposed to introduce.  Zenith 
Radio Corp. v. Matsushita Electric Industrial Co., 505 F.Supp. 
1313 (ED Pa. 1981)."
9,1," NUE had filed its complaint four years earlier, in the District 
Court for the District of New Jersey.  Zenith's complaint was"
10,3," The District Court ruled separately that petitioners were 
entitled to summary judgment on respondents' claims under 
the Antidumping Act of 1916.  Zenith Radio Corp. v. 
Matsushita Electric Industrial Co., 494 F.Supp. 1190 (ED Pa. 
1980). Respondents appealed this ruling, and the Court of 
Appeals reversed in a separate opinion issued the same day 
as the opinion concerning respondents' other claims.  In re 
Japanese Electronic Products Antitrust Litigation, 723 F.2d 
319 (CA3 1983).  LEdHN[2B][
] [2B]Petitioners ask us to review the Court of 
Appeals' Antidumping Act decision along with its decision on 
the rest of this mammoth case.  The Antidumping Act claims 
were not, however, mentioned in the questions presented in 
the petition for certiorari, and they have not been 
independently argued by the parties.  See this Court's Rule 
21.1(a).  We therefore decline the invitation to review the 
Court of Appeals' decision on those claims.
"
10,4," As to 3 of the 24 defendants, the Court of Appeals affirmed 
the entry of summary judgment. Petitioners are the 21 
defendants who remain in the case."
11,6," The Sherman Act does reach conduct outside our borders, 
but only when the conduct has an effect on American 
commerce.  Continental Ore Co. v. Union Carbide & Carbon 
Corp., 370 U.S. 690, 704 (1962) (""A conspiracy to monopolize 
or restrain the domestic or foreign commerce of the United 
States is not outside the reach of the Sherman Act just 
because part of the conduct complained of occurs in foreign 
countries"").  The effect on which respondents rely is the 
artificially depressed level of prices for CEPs in the United 
States. Petitioners' alleged cartelization of the Japanese market could 
not have caused that effect over a period of some two 
decades.  Once petitioners decided, as respondents allege, to 
reduce output and raise prices in the Japanese market, they 
had the option of either producing fewer goods or selling more 
goods in other markets.  The most plausible conclusion is that 
petitioners chose the latter option because it would be more 
profitable than the former.  That choice does not flow from the 
cartelization of the Japanese market.  On the contrary, were 
the Japanese market perfectly competitive petitioners would 
still have to choose whether to sell goods overseas, and would 
still presumably make that choice based on their profit 
expectations.  For this reason, respondents' theory of recovery 
depends on proof of the asserted price-cutting conspiracy in 
this country.
"
11,5," In addition to these inferences, the court noted that there was 
expert opinion evidence that petitioners' export sales 
""generally were at prices which produced losses, often as high 
as twenty-five percent on sales."" 723 F.2d, at 311. The court 
did not identify any direct evidence of below-cost pricing; nor 
did it place particularly heavy reliance on this aspect of the 
expert evidence.  See n. 19, infra."
12,8," Throughout this opinion, we refer to the asserted conspiracy 
as one to price ""predatorily."" This term has been used chiefly 
in cases in which a single firm, having a dominant share of the 
relevant market, cuts its prices in order to force competitors 
out of the market, or perhaps to deter potential entrants from 
coming in.  E. g., Southern Pacific Communications Co. v. 
American Telephone & Telegraph Co., 238 U. S. App. D. C. 
309, 331-336, 740 F.2d 980, 1002-1007 (1984), cert. denied, 
470 U.S. 1005 (1985). In such cases, ""predatory pricing"" 
means pricing below some appropriate measure of cost.  E. g., 
Barry Wright Corp. v. ITT Grinnell Corp., 724 F.2d 227, 232-
235 (CA1 1983); see Utah Pipe Co. v. Continental Baking Co., 
386 U.S. 685, 698, 701, 702, n. 14 (1967).  LEdHN[7B][
] [7B]There is a good deal of debate, both in 
the cases and in the law reviews, about what ""cost"" is relevant 
in such cases.  We need not resolve this debate here, 
because unlike the cases cited above, this is a Sherman Act § 
1 case.  For purposes of this case, it is enough to note that 
respondents have not suffered an antitrust injury unless 
petitioners conspired to drive respondents out of the relevant 
markets by (i) pricing below the level necessary to sell their 
products, or (ii) pricing below some appropriate measure of 
cost.  An agreement without these features would either leave 
respondents in the same position as would market forces or 
would actually benefit respondents by raising market prices.  
Respondents therefore may not complain of conspiracies that, 
for example, set maximum prices above market levels, or that 
set minimum prices at any level.
"
12,9," We do not consider whether recovery should ever be 
available on a theory such as respondents' when the pricing in 
question is above some measure of incremental cost.  See 
generally Areeda & Turner, Predatory Pricing and Related 
Practices Under Section 2 of the Sherman Act, 88 Harv. L. 
Rev. 697, 709-718 (1975) (discussing cost-based test for use 
in § 2 cases).  As a practical matter, it may be that only direct 
evidence of below-cost pricing is sufficient to overcome the 
strong inference that rational businesses would not enter into 
conspiracies such as this one.  See Part IV-A, infra."
12,7," Respondents also argue that the check prices, the five 
company rule, and the price fixing in Japan are all part of one 
large conspiracy that includes monopolization of the American 
market through predatory pricing. The argument is mistaken.  
However one decides to describe the contours of the asserted 
conspiracy -- whether there is one conspiracy or several -- 
respondents must show that the conspiracy caused them an 
injury for which the antitrust laws provide relief.  Associated 
General Contractors of California, Inc. v. Carpenters, 459 U.S. 
519, 538-540 (1983); Brunswick Corp. v. Pueblo Bowl-O-Mat, 
Inc., 429 U.S. 477, 488-489 (1977); see also Note, Antitrust 
Standing, Antitrust Injury, and the Per Se Standard, 93 Yale 
L.J. 1309 (1984). That showing depends in turn on proof that 
petitioners conspired to price predatorily in the American 
market, since the other conduct involved in the alleged 
conspiracy cannot have caused such an injury."
13,10," Respondents argued before the District Court that 
petitioners had failed to carry their initial burden under Federal 
Rule of Civil Procedure 56(c) of demonstrating the absence of 
a genuine issue of material fact.  See Adickes v. S.H. Kress & 
Co., 398 U.S. 144, 157 (1970). Cf.  Catrett v. Johns-Manville 
Sales Corp., 244 U. S. App. D. C. 160, 756 F.2d 181, cert. 
granted, 474 U.S. 944 (1985). That issue was resolved in 
petitioners' favor, and is not before us."
13,11," Rule 56(e) provides, in relevant part: HN1[
] ""When a motion for summary judgment is made and 
supported as provided in this rule, an adverse party may not 
rest upon the mere allegations or denials of his pleading, but 
his response, by affidavits or as otherwise provided in this 
rule, must set forth specific facts showing that there is a 
genuine issue for trial.  If he does not so respond, summary 
judgment, if appropriate, shall be entered against him.""
"
13,12," See n. 10, supra."
